NEU,NPC
Lmtk2,Cldn5
Tmem130,Eif2b5
Gpr12,Vwa5b2
Flt1,Ephb3
Slc46a3,Magef1
Mtus2,Liph
N4bp2l1,Etv5
Dync1i1,Dgkg
Dlx5,Bcl6
Ica1,Cldn1
Nxph1,Mb21d2
Thsd7a,Plaat1
Foxp2,Hes1
Mdfic,Gp5
Tes,Fam43a
Met,Gm15743
Tmem229a,Pigz
Grm8,Nrros
Rbm28,Itgb5
Impdh1,Mylk
Ccdc136,Adcy5
Irf5,Pdia5
Tspan33,Sema5b
Strip2,Parp14
Lncpint,Dtx3l
Podxl,Casr
Chrm2,Ildr1
Creb3l2,Stxbp5l
Klrg2,Poglut1
Parp12,Zdhhc23
Cntnap2,Sidt1
Osbpl3,Tomm70a
Mir148a,St3gal6
Nfe2l3,Crybg3
Skap2,Epha6
Creb5,Htr1f
Tril,Vgll3
Prr15,Rbm11
9130019P16Rik,Nrip1
Pde1c,Mir155hg
Grid2,Adamts1
Atoh1,Adamts5
Ndnf,Grik1
Gng12,Tiam1
Gadd45a,Olig2
Foxi3,Olig1
Atoh8,Cbr3
Tcf7l1,Dop1b
Eva1a,Sim2
Dok1,Ripply3
Pcgf1,Kcnj6
Emx1,Erg
Egr4,Ets2
Tgfa,Dscam
Anxa4,Bace2
Mgll,Ripk4
Plxna1,Tiam2
Klf15,Zdhhc14
Iqsec1,Synj2
Wnt7a,Fndc1
Adamts9,Rnaset2a
Mitf,Mpc1
Gpr27,Pde10a
Prok2,Dact2
Gm15631,Rgmb
Grm7,Zfp51
Prrt3,9330136K24Rik
Pparg,Zfp229
Plxnd1,Mmp25
Cxcl12,Tnfrsf12a
Ret,Paqr4
Wnt5b,Ntn3
B4galnt3,Pkd1
Il17ra,Nherf2
Tmem121b,Npw
Bid,Syngr3
Mical3,Hs3st6
Iqsec3,Meiob
Pianp,Baiap3
Vamp1,Cacna1h
Tnfrsf1a,Rab11fip3
Kcna1,Pgap6
Kcna6,Rgs11
Tead4,Neurl1b
Mansc1,Kifc5b
Pde3a,Itpr3
Ldhb,Pacsin1
Kcnj8,Tcp11
Cmas,Scube3
Sox5,Fkbp5
Bhlhe41,Slc26a8
Itpr2,Mapk13
Pthlh,Cdkn1a
Tmtc1,Cpne5
Prkcg,Glp1r
Tsen34,Abcg1
Leng9,Cbs
Tmem238,Ephx3
Shisa7,Zfp472
Dhx34,Kank3
Bbc3,Kifc1
Slc1a5,H2-K2
Pnma8b,H2-K1
Mypop,Col11a2
Six5,Psmb9
Eml2,Psmb8
Klc3,Tap2
Zfp575,Prrt1
Atp1a3,Hspa1b
Pou2f2,H2-D1
Shkbp1,H2-Q2
Sptbn4,2300002M23Rik
Zfp974,H2-T22
Zfp36,H2-Bl
Fbxo27,H2-T-ps
Spint2,Gm10499
Scn1b,Gm8909
Chst8,Gm6623
Cebpa,Rnf39
Rhpn2,Or2i1
Rgs9bp,9130008F23Rik
Tshz3,Ptchd4
Zfp536,Pla2g7
Kcnc3,Tdrd6
Slc17a7,Rcan2
Lin7b,Clic5
Kcnc1,Tcte1
Sergef,Tmem151b
Ptpn5,Nfkbie
Gabrg3,Slc29a1
Entrep2,Rsph9
Pcsk6,Lrrc73
Chsy1,Dlk2
Lrrk1,Cul9
Aldh1a3,Srf
Synm,Trerf1
Fam174b,Tfeb
Slco3a1,Mdfi
Tm6sf1,Foxp4
Adamtsl3,Lrfn2
Cemip,Daam2
Fzd4,Rftn1
Sytl2,Dazl
Tmem126b,Satb1
Aqp11,Gm27217
Pak1,Slc5a7
Capn5,Shd
Tsku,Sema6b
Lrrc32,Tnfaip8l1
Wnt11,Rpl36
Dgat2,Nrtn
Map6,Rfx2
Chrdl2,Crb3
Arhgef17,Tubb4a
Atg16l2,Vav1
Arap1,Efna5
Stim1,Man2a1
Syt9,Mtcl1
Ppfibp2,Ptprm
Tub,L3mbtl4
Nrip3,Epb41l3
Scube2,Akain1
Swap70,Dlgap1
Mical2,Tgif1
Rassf10,Emilin2
Bmal1,Alk
Spon1,Galnt14
1110004F10Rik,Ltbp1
Plekha7,Cdc42ep3
Syt17,Cyp1b1
Itpripl2,Hnrnpll
Gpr139,Kcng3
Cdr2,Zfp36l2
Mettl9,Plekhh2
Hs3st4,Abcg8
Gsg1l,Six2
Doc2a,Prkce
Zfp688,Epas1
Rgs10,Epcam
Htra1,Kcnk12
Ctbp2,Adcyap1
Ptpre,Bambi
Tcerg1l,Map3k8
Jakmip3,Jcad
Dpysl4,Mkx
Pwwp2b,Mpp7
Nlrp6,Colec12
Tspan4,Greb1l
Ascl2,Abhd3
Ppfia1,Lama3
Fgf15,Zfp521
Ccnd1,Taf4b
Nalf1,Chst9
Col4a1,Dsc3
Col4a2,Dsc2
Grtp1,Dsg2
Tdrp,4930426D05Rik
Erich1,Asxl3
Dlgap2,Nol4
Csmd1,Mocos
Atp7b,Fhod3
Ank1,Celf4
Sfrp1,Tslp
Adgra2,Epb41l4a
Rab11fip1,Egr1
Tex15,Prob1
Rbpms,Nrg2
Saraf,Pura
Gm16793,Hbegf
Gm19410,Cd14
Cldn23,Pcdhac1
Sgcz,Pcdhgb6
Zdhhc2,Pcdh1
Slc7a2,Spry4
Mtus1,Kctd16
Cyp4v3,Pou4f3
Stox2,Dpysl3
Tenm3,Mcc
Galntl6,Kcnn2
Mfap3l,Mospd4
Spock3,Lvrn
Tll1,Commd10
Npy5r,Sema6a
Csgalnact1,Hsd17b4
Lpl,Prr16
Slc25a42,Lox
Tmem59l,Ppic
Ssbp4,Prdm6
Mir7240,Marchf3
Kcnn1,Fbn2
Map1s,Adamts19
Unc13a,Chsy3
Rasd2,Smim3
Gm10649,Arsi
Pou4f2,Slc6a7
Hhip,Ppargc1b
Mir1199,Arhgef37
Farsa,Afap1l1
Junb,Ablim3
4921524J17Rik,Adrb2
Zfp423,Htr4
Mir8110,Apcdd1
Sall1,Piezo2
Tox3,Onecut2
Lpcat2,Atp8b1
Mt2,Malt1
Mt1,Grp
Cpne2,Pmaip1
Cx3cl1,Mc4r
Ndrg4,Gnal
Cdh11,Mppe1
Bean1,Cidea
Terb1,Tubb6
B3gnt9,Ldlrad4
Fbxl8,Mc5r
Hsd11b2,Dcc
Slc12a4,Mapk4
1810019D21Rik,Myo5b
Cdh1,Lipg
Has3,Dym
Sntb2,Ctif
Vps4a,Zbtb7c
Zfp821,St8sia5
Fa2h,Rnf165
Vat1l,Kcng2
Maf,Nfatc1
Cdyl2,Sall3
Plcg2,Galr1
Necab2,Mbp
Trim67,Neto1
Disc1,Cbln2
A730098A19Rik,Dok6
Kcnk1,Cpt1a
Tarbp1,Unc93b1
Pard3,Pitpnm1
Tmem123,Rad9a
Pgr,Ssh3
Endod1,Kdm2a
Fut4,Syt12
Vstm5,Pcx
Olfm2,Gm960
S1pr2,Ctsf
Mir1900,Actn3
Cdc37,Peli3
Gm6607,Cd248
Dpy19l2,Tmem151a
Igsf9b,Fosl1
Opcml,Ccdc85b
Adamts8,Ovol1
Barx2,Cdc42ep2
Fli1,Rasgrp2
Grik4,Nrxn2
Oaf,Rps6ka4
Thy1,Kcnk4
Phldb1,Macrod1
Zbtb16,Plaat3
Mir34b,Plaat5
Slc35f2,Ahnak
Dnaja4,Fads3
Chrna5,Myrf
Chrna3,Syt7
Lingo1,Lrrc10b
Snx33,Vwce
Commd4,Stx3
Rpp25,A330040F15Rik
Loxl1,Tle4
Hcn4,Gna14
Gramd2a,Vps13a
Larp6,Foxb2
Uaca,Prune2
Smad3,Pcsk5
Smad6,Trpm6
Megf11,Rorb
Rbpms2,Gda
Snx22,Trpm3
Tpm1,Klf9
C2cd4b,Mamdc2
Myo1e,Apba1
Prtg,Entrep1
Onecut1,Tjp2
Htr1b,Pip5k1b
Tent5a,Pgm5
Tpbg,Foxd4
A330041J22Rik,Dock8
Ripply2,Kank1
Minar1,Dmrt3
Rasgrf1,2610016A17Rik
Paqr9,Vldlr
Pcolce2,Slc1a1
Trpc1,Ppp1r2-ps3
Pls1,Dkk1
Clstn2,Prkg1
Faim,Papss2
Nck1,Stambpl1
Slc35g2,Ch25h
Ephb1,Slc16a12
Rad54l2,Htr7
Dock3,Hhex
6430571L13Rik,Rbp4
Cacna2d2,Plce1
Rassf1,Pdlim1
Slc38a3,Tll2
Sema3f,Pik3ap1
Camkv,Slit1
Inka1,Ubtd1
Celsr3,Marveld1
Kif9,Cnnm1
Nbeal2,1700039E22Rik
Myl3,Fgf8
Trank1,Hps6
Susd5,Pitx3
Cmtm7,Ina
Cmtm8,Neurl1a
Osbpl10,Gsto1
Eomes,Cfap58
Itga9,Sorcs3
Plcd1,Dusp5
Acaa1b,Rbm20
Scn5a,Adrb1
Myrip,Vwa2
Cck,Afap1l2
Lyzl4,Ablim1
9530059O14Rik,Gfra1
Tmem158,Vax1
Ptchd1,Slc18a2
Nhs,Gm7102
,Bend7
,Phyh
,Optn
,Ccdc3
,Camk1d
,Dhtkd1
,Proser2
,Sfmbt2
,Prkcq
,Pfkfb3
,Il15ra
,C1ql3
,St8sia6
,Plxdc2
,Nebl
,A930004D18Rik
,Bmi1
,Carlr
,Pip4k2a
,Ptf1a
,Otud1
,Etl4
,Gpr158
,Gad2
,Apbb1ip
,Nxph2
,Psd4
,Cacna1b
,Tprn
,Grin1
,Uap1l1
,Entpd2
,Ajm1
,Kcnt1
,Nacc2
,Lhx3
,Agpat2
,Vav2
,Rxra
,Col5a1
,Ralgds
,Ak8
,Cfap77
,Ntng2
,1700001O22Rik
,Ptges
,Fnbp1
,Ncs1
,Ass1
,Prdm12
,Fibcd1
,Fam78a
,Dnm1
,Pip5kl1
,Stxbp1
,Slc2a8
,Garnl3
,Ralgps1
,Pbx3
,Fbxw2
,Rab14
,Gsn
,Stom
,Ggta1
,Ttll11
,Lhx6
,Lhx2
,Nr5a1
,Nr6a1
,Olfml2a
,Lrp1b
,Lypd6b
,Cacnb4
,Galnt13
,Kcnj3
,Acvr1c
,Cd302
,Ly75
,Pla2r1
,Rbms1
,Tbr1
,Dpp4
,Ifih1
,Fign
,Grb14
,Cobll1
,Galnt3
,Scn9a
,Lrp2
,Sp5
,Gad1os
,Cybrd1
,Dlx1
,Dlx2
,Rapgef4
,Sp9
,Gpr155
,Wipf1
,Chrna1os
,Hoxd13
,Hoxd9
,Hoxd8
,Haglr
,Nfe2l2
,Ttc30a2
,Pde11a
,Osbpl6
,Ccdc141
,Zfp385b
,Itga4
,Cerkl
,Neurod1
,Itprid2
,Frzb
,Zfp804a
,Ypel4
,Slc43a1
,Rtn4rl2
,Lrrc55
,Agbl2
,C1qtnf4
,Pacsin3
,Dgkz
,Creb3l1
,Slc35c1
,Chst1
,Syt13
,Alx4
,Mir129b
,Mir129-2
,Pamr1
,Slc1a2
,Cd44
,Abtb2
,A930018P22Rik
,Depdc7
,Prrg4
,Pax6
,Bdnf
,Lgr4
,Fibin
,Ryr3
,Fmn1
,Grem1
,Rasgrp1
,Gpr176
,Bmf
,Pak6
,Ankrd63
,Inafm2
,Bahd1
,Gchfr
,Spint1
,Rhov
,Dll4
,Chac1
,Itpka
,Ltk
,Tyro3
,Ehd4
,Pla2g4e
,Ckmt1
,Shf
,Gatm
,Sqor
,Sema6d
,Ctxn2
,Shc4
,Slc27a2
,Dusp2
,Adra2b
,Bub1
,Mertk
,Fbln7
,Ebf4
,Cpxm1
,Pced1a
,Slc4a11
,Gfra4
,Hspa12b
,Rnf24
,Adra1d
,Slc23a2
,Prokr2
,Lrrn4
,Fermt1
,Bmp2
,Pak5
,Snap25
,Jag1
,Ism1
,Macrod2
,Bfsp1
,Ovol2
,BC039771
,Insm1
,Nkx2-4
,Sstr4
,Syndig1
,Vsx1
,Snph
,Tmem74b
,Rspo4
,Scrt2
,Tcf15
,Trib3
,Id1
,Dusp15
,Xkr7
,Hck
,Tspyl3
,Nol4l
,Dnmt3b
,Snta1
,Pxmp4
,Trp53inp2
,Mmp24
,Epb41l1
,Myl9
,Vstm2l
,Gm14204
,Ppp1r16b
,Mafb
,Emilin3
,Ptprt
,Srsf6
,L3mbtl1
,Tox2
,Gdap1l1
,Rims4
,Slpi
,Sdc4
,Wfdc2
,Pltp
,Mmp9
,Slc12a5
,Cdh22
,Eya2
,Ncoa3
,Sulf2
,Kcnb1
,Ptgis
,Snai1
,Cebpb
,Kcng1
,Nfatc2
,Sall4
,Tshz2
,Cyp24a1
,Cbln4
,Tfap2c
,Bmp7
,Rbm38
,Ankrd60
,Edn3
,Phactr3
,Ppp1r3d
,Lsm14b
,Hrh3
,Gata5
,Gata5os
,Slco4a1
,Ntsr1
,Col9a3
,Bhlhe23
,Mir124a-3
,Ythdf1
,Kcnq2
,Eef1a2
,Fndc11
,Stmn3
,Zbtb46
,Sox18
,2700069I18Rik
,Il7
,Stmn2
,Tpd52
,Ralyl
,Car2
,Bhlhe22
,Crh
,Gyg
,Nlgn1
,Ghsr
,Pld1
,Eif5a2
,Egfem1
,Gpr160
,Cldn11
,Slc7a14
,Kcnmb2
,Gnb4
,Pex5l
,Mir7009
,Trpc3
,Spry1
,Gm5148
,Intu
,Larp1b
,Pcdh10
,Mgarp
,Foxo1
,Lhfpl6
,Frem2
,Trpc4
,Smad9
,Sertm1
,Ccna1
,Mab21l1
,P2ry1
,Gpr149
,Mir8120
,Ptx3
,Shox2
,Mlf1
,Lxn
,Rarres1
,1110032F04Rik
,Sptssb
,Slitrk3
,Gucy1a1
,Npy2r
,Rbm46
,Lrat
,Gm10710
,Tlr2
,Fhdc1
,Glt28d2
,Sh3d19
,Lrba
,Mab21l2
,Ntrk1
,Crabp2
,Bcan
,Bglap
,Lmna
,Hcn3
,Gba
,Efna1
,Efna3
,Efna4
,Gm15417
,Chrnb2
,Il6ra
,Slc27a3
,Npr1
,S100a1
,S100a6
,Lor
,Tchh
,S100a10
,C2cd4d
,Cgn
,Setdb1
,Gm4349
,Adamtsl4
,Sv2a
,Hjv
,Ankrd34a
,Ankrd35
,Nudt17
,Pde4dip
,Tent5c
,Igsf3
,Atp1a1
,Slc22a15
,Nhlh2
,Vangl1
,Ngf
,Dennd2c
,Syt6
,Slc16a1
,Tafa3
,Ppm1j
,Wnt2b
,Kcnd3
,Dennd2d
,Kcna2
,Kcnc4
,Slc6a17
,Alx3
,Gstm1
,Gstm4
,Sypl2
,Elapor1
,Vav3
,Ntng1
,Gpr88
,Slc35a3
,Plppr4
,Plppr5
,Mir137
,Dpyd
,F3
,Arhgap29
,Sec24d
,Prss12
,Ugt8a
,Camk2d
,Gm16958
,Ank2
,Neurog2
,Tifa
,Pitx2
,Mcub
,Lef1
,Sgms2
,Dkk2
,Npnt
,Tacr3
,Manba
,Slc39a8
,Ddit4l
,Tspan5
,Unc5c
,Pdlim5
,Gbp7
,Kyat3
,Lmo4
,Col24a1
,Ccn1
,Syde2
,Mcoln2
,Lpar3
,Samd13
,Ptgfr
,Gipc2
,Nexn
,Ak5
,St6galnac5
,Slc44a5
,Lhx8
,Erich3
,Negr1
,Ptger3
,Lrrc7
,Wls
,Lyn
,Mos
,Penk
,Car8
,Gdf6
,Esrp1
,Runx1t1
,Gm11837
,Necab1
,Ttpa
,Prdm13
,Pou3f2
,Ankrd6
,Rragd
,Cnr1
,Cfap206
,Lingo2
,Rigi
,Tmem215
,Aqp3
,Myorg
,Arid3c
,Phf24
,Unc13b
,Tpm2
,Npr2
,Reck
,Frmpd1
,Shb
,Igfbpl1
,Tmod1
,Xpa
,Foxe1
,Gm16731
,Coro2a
,Tbc1d2
,Gabbr2
,Anks6
,Galnt12
,Tgfbr1
,Nr4a3
,Plppr1
,Pgap4
,Grin3a
,Abca1
,Slc44a1
,Tal2
,Klf4
,Frrs1l
,Epb41l4b
,Ptpn3
,Pakap
,Svep1
,Susd1
,Ptbp3
,Bspry
,Zfp618
,Col27a1
,Whrn
,Pappa
,Astn2
,Brinp1
,Rasef
,Frmd3
,Ptprd
,Ttc39b
,Bnc2
,Sh3gl2
,Acer2
,Mllt3
,Gm13286
,Gm13283
,Gm13289
,Gm13285
,Gm13288
,Gm49890
,Cdkn2a
,Cdkn2b
,Elavl2
,L1td1
,Kank4
,Foxd3
,Ror1
,Raver2
,Jak1
,Ak4
,Dnajc6
,Lepr
,Pde4b
,Dab1
,Prkaa2
,Pcsk9
,Pars2
,Glis1
,Echdc2
,Zyg11a
,Shisal2a
,Rab3b
,Eps15
,Ttc39a
,Dmrta2
,Trabd2b
,Gm12830
,Foxe3
,Tal1
,Mob3c
,Dmbx1
,Faah
,Hpdl
,Ptch2
,Plk3
,Rnf220
,Artn
,Tmem125
,Hivep3
,Foxo6
,Cited4
,Kcnq4
,Bmp8b
,Oxct2b
,Hpcal4
,Nt5c1a
,Heyl
,Bmp8a
,Macf1
,Pou3f1
,Utp11
,Fhl3
,Maneal
,Epha10
,1700125G02Rik
,Rspo1
,Dnali1
,Zc3h12a
,Grik3
,Stk40
,Eva1b
,Trappc3
,5730409E04Rik
,Tfap2e
,Dlgap3
,Gja4
,Csmd2
,Phc2
,Trim62
,Azin2
,Hpca
,Fndc5
,Sync
,Zbtb8a
,Col16a1
,Hcrtr1
,Fabp3
,Sdc3
,Ptpru
,Epb41
,Oprd1
,Ahdc1
,Gpr3
,Map3k6
,Tent5b
,Trnp1
,Sfn
,Rps6ka1
,Zfp593
,Fam110d
,Paqr7
,Man1c1
,Ldlrap1
,Maco1
,Ncmap
,Nipal3
,Grhl3
,Ifnlr1
,Id3
,Asap3
,Tcea3
,Htr1d
,Epha8
,Wnt4
,Rap1gap
,Alpl
,Ece1
,Cda
,Camk2n1
,Htr6
,Nbl1
,Akr7a5
,Igsf21
,Rcc2
,Padi2
,Gm13031
,Arhgef19
,Epha2
,Fam131c
,Tmem82
,Fhad1
,Tmem51os1
,Kazn
,Lrrc38
,Dhrs3
,Draxin
,Fbxo44
,Disp3
,Casz1
,Clstn1
,Slc25a33
,Spsb1
,Gpr157
,Slc45a1
,1700045H11Rik
,Klhl21
,Espn
,Acot7
,Gpr153
,Icmt
,Chd5
,Ajap1
,A430005L14Rik
,Trp73
,Megf6
,Arhgef16
,Prdm16
,Prxl2b
,Prkcz
,Gabrd
,Mmp23
,Fndc10
,Vwa1
,Mxra8
,Cdk6
,Gm8773
,Cfap69
,Steap2
,Steap1
,Zfp804b
,Adam22
,Grm3
,Sema3d
,Sema3e
,Cacna2d1
,Sema3c
,Gnai1
,Magi2
,Fbxl13
,Reln
,Lhfpl3
,2700038G22Rik
,Kcnh2
,Gbx1
,Wdr86
,Prkag2
,Gm1979
,En2
,Lmbr1
,Mnx1
,Zfp513
,Fosl2
,Nat8l
,Mxd4
,Tnip2
,Dok7
,Adra2c
,Ablim2
,Afap1
,Sorcs2
,Ccdc96
,Mrfap1
,Man2b2
,Ppp2r2c
,Jakmip1
,Crmp1
,Stk32b
,Msx1
,Nsg1
,Drd5
,Nkx3-2
,Qdpr
,Fam184b
,Slit2
,Lgi2
,Sel1l3
,Nwd2
,0610040J01Rik
,Tbc1d1
,Klf3
,Nsun7
,Limch1
,Bend4
,Shisa3
,Kctd8
,Gnpda2
,Gabra4
,Zar1
,Slc10a4-ps
,Nipal1
,Tec
,Slc10a4
,Sgcb
,Spata18
,Rasl11b
,Chic2
,Gsx2
,Kit
,Kdr
,Thegl
,Igfbp7
,Adgrl3
,Slc4a4
,Adamts3
,Cxcl5
,Cxcl1
,Cxcl2
,Areg
,Btc
,Parm1
,Cdkl2
,Sowahb
,Prdm8
,A730035I17Rik
,Fgf5
,Bmp3
,Prkg2
,Tmem150c
,Hpse
,Gpat3
,Nkx6-1
,Cds1
,Aff1
,Hsd17b11
,Zfp326
,Barhl2
,Tgfbr3
,Ephx4
,Cplx1
,Crlf2
,Plcxd1
,P2rx2
,Fbrsl1
,Asphd2
,Sez6l
,Grk3
,Sgsm1
,Wscd2
,Svop
,Foxn4
,Fam222a
,Trpv4
,Gltp
,Cabp1
,Pop5
,Bicdl1
,Taok3
,Vsig10
,Ksr2
,Tesc
,Tbx3
,Slc8b1
,Rasal1
,Dtx1
,Trafd1
,Aldh2
,Sh2b3
,Pheta1
,Cux2
,Cfap251
,Hip1r
,Abcb9
,Ccdc92
,Tmem132b
,Tmem132c
,Fzd10os
,Rimbp2
,Stx2
,Mmp17
,Nupr1l
,Gusb
,Galnt17
,Stx1a
,Fzd9
,Hip1
,Srrm3
,Hspb1
,Rasa4
,Sh2b2
,Cux1
,Col26a1
,Ache
,Actl6b
,Zkscan1
,Fam20c
,Foxl3
,Pdgfa
,Adap1
,Micall2
,Elfn1
,Lfng
,Sdk1
,Radil
,Lmtk2
,Dmrt1i
,Nptx2
,Tmem130
,Arpc1b
,Gpr12
,Gsx1
,Flt3
,Flt1
,Slc46a3
,Mtus2
,Ubl3
,Fry
,N4bp2l1
,Kl
,Calcr
,Col1a2
,Dync1i1
,Dlx6
,Dlx5
,Tac1
,Asns
,Ica1
,Nxph1
,Thsd7a
,Foxp2
,Mdfic
,Tes
,Cav1
,Met
,Wnt2
,Cftr
,Tspan12
,Cped1
,Wnt16
,Cadps2
,Tmem229a
,Gpr37
,Grm8
,Zfp800
,Lrrc4
,Rbm28
,Prrt4
,Impdh1
,Flnc
,Kcp
,Irf5
,Strip2
,Smkr-ps
,Klf14
,Lncpint
,2210408F21Rik
,Podxl
,Plxna4
,Chrm2
,Dgki
,Creb3l2
,D630045J12Rik
,Zc3hav1
,Klrg2
,Clec2l
,Parp12
,Kdm7a
,Gstk1
,Arhgef5
,Cntnap2
,AI854703
,Npy
,Osbpl3
,4921507P07Rik
,Mir148a
,Nfe2l3
,Skap2
,Hotairm1
,Hoxa4
,Hoxa7
,Jazf1
,Creb5
,Tril
,Prr15
,9130019P16Rik
,Adcyap1r1
,Pde1c
,Nap1l5
,Gprin3
,Grid2
,Atoh1
,Qrfprl
,Ndnf
,Tacstd2
,Foxi3
,Reep1
,Atoh8
,Vamp5
,Vamp8
,Eva1a
,Tacr1
,Sema4f
,Dok1
,Pcgf1
,Rtkn
,Vax2
,Ankrd53
,Dysf
,Exoc6b
,Emx1
,Egr4
,Nat8f4
,Tgfa
,Gmcl1
,Anxa4
,Efcc1
,Gata2
,Eefsec
,Mgll
,Podxl2
,Plxna1
,Klf15
,Iqsec1
,Xpc
,Fgd5
,Prickle2
,Adamts9
,Lrig1
,Tafa4
,Eogt
,Frmd4b
,Mitf
,Eif4e3
,Gpr27
,Prok2
,Rybp
,Gxylt2
,Chl1
,Gm15631
,Grm7
,Oxtr
,Prrt3
,Atp2b2
,Slc6a11
,Slc6a1
,Hrh1
,Vgll4
,Gm17733
,Pparg
,Plxnd1
,Tmcc1
,Cxcl12
,Rasgef1a
,Ret
,Zfp9
,Lrtm2
,Wnt5b
,B4galnt3
,Il17ra
,Tmem121b
,Hdhd5
,Bid
,Mical3
,Tuba8
,Iqsec3
,Slc2a3
,Eno2
,Pianp
,Ltbr
,Tnfrsf1a
,Ntf3
,Kcna1
,Kcna6
,Ccnd2
,Prmt8
,Tead4
,Mansc1
,Apold1
,Gprc5a
,Grin2b
,Rerg
,Ptpro
,Pde3a
,Kcnj8
,St8sia1
,Sox5
,Bcat1
,Gm15706
,Bhlhe41
,Itpr2
,Bmal2
,Mrps35
,Pthlh
,Ccdc91
,Tmtc1
,Prkcg
,Mir935
,Leng9
,Dnaaf3
,Tmem238
,Shisa7
,Zfp579
,Zfp580
,Nlrp5-ps
,Bbc3
,Npas1
,Pnma8b
,Hif3a
,Mypop
,Eml2
,Gpr4
,Fosb
,Klc3
,A930016O22Rik
,Zfp296
,Apoe
,Bcam
,Zfp180
,Zfp575
,Phldb3
,Lypd3
,Erfl
,Atp1a3
,Pou2f2
,Tmem145
,Dmac2
,Tmem91
,Tgfb1
,Cyp2s1
,Ltbp4
,Shkbp1
,Sptbn4
,Sertad1
,Zfp850
,Dll3
,Fbxo27
,Ryr1
,Fam98c
,Spred3
,Kcnk6
,Spint2
,Ppp1r14a
,Nfkbid
,Scn1b
,Chst8
,Cebpa
,Slc7a10
,Rhpn2
,Rgs9bp
,Tshz3
,Zfp536
,Plekhf1
,Vstm2b
,Vsig10l
,Zfp819
,Shank1
,Kcnc3
,Rras
,Flt3l
,Slc17a7
,Slc6a16
,Lin7b
,Ntf5
,Rasip1
,Car11
,Odad1
,Kcnj11
,Abcc8
,Kcnc1
,Ptpn5
,Dbx1
,Htatip2
,Nell1
,Ano5
,Slc17a6
,Luzp2
,Gabrg3
,Gabra5
,Magel2
,Mkrn3
,Otud7a
,Entrep2
,Tjp1
,Pcsk6
,Chsy1
,Lrrk1
,Aldh1a3
,Adamts17
,4833412C05Rik
,Mctp2
,Fam174b
,St8sia2
,Slco3a1
,Gm26633
,Rhcg
,Mesp1
,Nmb
,Pde8a
,Cpeb1
,Homer2
,Tm6sf1
,Bnc1
,Sh3gl3
,Adamtsl3
,Cemip
,Ctxnd1
,Fah
,Grm5
,Rab38
,Fzd4
,Sytl2
,Ccdc89
,Aqp11
,Pak1
,Lrrc32
,Wnt11
,Dgat2
,Map6
,Gdpd5
,Klhl35
,Tpbgl
,Chrdl2
,Kcne3
,P4ha3
,Ucp2
,Arhgef17
,P2ry6
,P2ry2
,Atg16l2
,Arap1
,Phox2a
,Stim1
,Cckbr
,Syt9
,Ppfibp2
,Tub
,Ric3
,Lmo1
,Nrip3
,Scube2
,Sbf2
,Adm
,Ampd3
,Galnt18
,Dkk3
,Mical2
,Rassf10
,Bmal1
,Spon1
,Calca
,Sox6
,Syt17
,Itpripl2
,Gprc5b
,Gpr139
,Ldaf1
,Cdr2
,Hs3st2
,Usp31
,Scnn1g
,Prkcb
,Hs3st4
,Il4ra
,Gsg1l
,Coro1a
,Doc2a
,Asphd1
,Zfp764
,Zfp688
,Orai3
,Rgs10
,Bag3
,Plpp4
,Htra1
,Hmx3
,Cpxm2
,Nkx1-2
,Ctbp2
,Foxi2
,Ptpre
,Ebf3
,Tcerg1l
,Jakmip3
,Dpysl4
,Pwwp2b
,Nkx6-2
,Adgra1
,Kndc1
,Utf1
,Msx3
,Caly
,Nlrp6
,Sct
,Drd4
,Tspan4
,Dusp8
,H19
,Ascl2
,Cdkn1c
,Phlda2
,Tnfrsf22
,Tnfrsf23
,Ppfia1
,Fadd
,Fgf3
,Fgf15
,Ccnd1
,Stxbp2
,Nalf1
,Tnfsf13b
,Myo16
,Irs2
,E230013L22Rik
,Arhgef7
,Sox1ot
,Grtp1
,Gas6
,Rasa3
,Tdrp
,Dlgap2
,Csmd1
,Atp7b
,Thsd1
,Ank1
,Htra4
,Tacc1
,Adgra2
,Rab11fip1
,Eif4ebp1
,Unc5d
,Dusp26
,Nrg1
,Tex15
,Rbpms
,Dusp4
,Ppp1r3b
,Gm16793
,Gm19410
,Cldn23
,Sgcz
,Slc7a2
,Pdgfrl
,Mtus1
,Fam149a
,Pdlim3
,Stox2
,Wwc2
,Tenm3
,Hpgd
,Hand2
,Galntl6
,Mfap3l
,Spock3
,Tll1
,Npy5r
,Npy1r
,Sh2d4a
,Csgalnact1
,Lpl
,Lzts1
,Hapln4
,Slc25a42
,Comp
,Klhl26
,Tmem59l
,Isyna1
,Ssbp4
,Gdf15
,Mir7240
,Mast3
,Arrdc2
,Kcnn1
,Map1s
,Nr2f6
,Tmem221
,Unc13a
,Jak3
,Klf2
,Rasd2
,0610038B21Rik
,Tmem184c
,Ednra
,Pou4f2
,Rbmxl1
,Hhip
,Inpp4b
,Il15
,Rnf150
,Elmod2
,Clgn
,Adgre5
,1700067K01Rik
,Mir1199
,Nfix
,Farsa
,Syce2
,Gm38426
,Mast1
,Rtbdn
,Junb
,Hook2
,Cbln1
,Zfp423
,Adcy7
,Brd7
,Nkd1
,Nod2
,Sall1
,Irx3
,Crnde
,Irx5
,Irx6
,Lpcat2
,Mt2
,Mt1
,Nlrc5
